Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0,2016
32,32,LAL,Ivica Zubac,,9,584,13434,5953,4742,794,.616,.083,.726,23.0,10.2,8.1,1.4,51.3,.183,0.9,9.8,2016
33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3,2016
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1,2016
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,,2016
36,36,MIL,Malcolm Brogdon,Virginia,9,463,13481,7077,1917,2156,.463,.388,.874,29.1,15.3,4.1,4.7,33.4,.119,1.3,11.2,2016
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1,2016
38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6,2016
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,,2016
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1,2016
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2,2016
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4,2016
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2,2016
44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,,2016
45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1,2016
46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2,2016
47,47,ORL,Jake Layman,Maryland,6,243,3099,1175,417,127,.460,.300,.719,12.8,4.8,1.7,0.5,3.8,.059,-2.3,-0.2,2016
48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4,2016
49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1,2016
50,50,IND,Georges Niang,Iowa State,9,544,9494,4046,1354,534,.445,.399,.852,17.5,7.4,2.5,1.0,15.9,.080,-1.7,0.7,2016
51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1,2016
52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0,2016
53,53,DEN,Petr Cornelie,,1,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-.015,-8.8,-0.1,2016
