Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
26,DAL,Wendell Moore Jr.,Duke,3,90,727,210,125,66,.460,.250,.815,8.1,2.3,1.4,0.7,0.8,.055,-2.6,-0.1,2022
28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,3,93,826,343,188,43,.405,.373,.658,8.9,3.7,2.0,0.5,0.6,.032,-3.1,-0.2,2022
29,MEM,TyTy Washington Jr.,Kentucky,3,58,607,194,63,68,.347,.234,.542,10.5,3.3,1.1,1.2,-0.4,-.031,-6.8,-0.7,2022
30,OKC,Peyton Watson,UCLA,3,171,3330,1158,528,191,.472,.328,.673,19.5,6.8,3.1,1.1,5.3,.076,-2.0,0.0,2022
2,CHO,Brandon Miller,Alabama,2,101,3307,1847,446,273,.428,.366,.837,32.7,18.3,4.4,2.7,1.2,.017,-1.9,0.1,2023
6,ORL,Anthony Black,Arkansas,2,147,3051,1052,369,331,.435,.343,.718,20.8,7.2,2.5,2.3,4.0,.064,-2.3,-0.2,2023
8,WAS,Jarace Walker,Houston,2,108,1527,581,292,150,.457,.404,.692,14.1,5.4,2.7,1.4,2.0,.063,-0.7,0.5,2023
9,UTA,Taylor Hendricks,Central Florida,2,43,931,306,200,34,.434,.368,.788,21.7,7.1,4.7,0.8,1.2,.064,-1.8,0.1,2023
10,DAL,Cason Wallace,Kentucky,2,150,3568,1129,416,293,.482,.389,.797,23.8,7.5,2.8,2.0,9.2,.124,0.6,2.3,2023
11,ORL,Jett Howard,Michigan,2,78,768,296,77,50,.370,.294,.667,9.8,3.8,1.0,0.6,0.2,.010,-5.0,-0.6,2023
12,OKC,Dereck Lively II,Duke,2,91,2127,797,648,145,.729,.000,.565,23.4,8.8,7.1,1.6,8.4,.189,1.6,1.9,2023
13,TOR,Gradey Dick,Kansas,2,114,2855,1287,325,166,.416,.356,.859,25.0,11.3,2.9,1.5,1.6,.028,-4.2,-1.6,2023
14,NOP,Jordan Hawkins,UConn,2,123,2481,1128,306,136,.376,.348,.826,20.2,9.2,2.5,1.1,0.7,.014,-4.3,-1.5,2023
15,ATL,Kobe Bufkin,Michigan,2,27,320,134,54,44,.374,.220,.654,11.9,5.0,2.0,1.6,-0.1,-.012,-4.3,-0.2,2023
16,UTA,Keyonte George,Baylor,2,142,4132,2099,464,709,.391,.339,.831,29.1,14.8,3.3,5.0,0.7,.009,-3.5,-1.6,2023
17,LAL,Jalen Hood-Schifino,Indiana,2,36,424,140,40,45,.329,.262,.732,11.8,3.9,1.1,1.3,-0.6,-.068,-9.3,-0.8,2023
18,MIA,Jaime Jaquez Jr.,UCLA,2,141,3481,1459,575,361,.478,.318,.785,24.7,10.3,4.1,2.6,6.3,.087,-1.5,0.4,2023
19,GSW,Brandin Podziemski,Santa Clara,2,138,3684,1429,752,493,.449,.378,.701,26.7,10.4,5.4,3.6,8.3,.108,0.3,2.1,2023
20,HOU,Cam Whitmore,Villanova,2,98,1707,1056,331,82,.449,.357,.707,17.4,10.8,3.4,0.8,3.3,.093,0.2,0.9,2023
21,BRK,Noah Clowney,Alabama,2,69,1412,553,262,58,.394,.337,.800,20.5,8.0,3.8,0.8,1.3,.046,-3.2,-0.4,2023
22,BRK,Dariq Whitehead,Duke,2,22,270,117,33,15,.396,.429,.571,12.3,5.3,1.5,0.7,0.0,.007,-4.1,-0.1,2023
23,POR,Kris Murray,Iowa,2,131,2388,663,406,148,.406,.251,.558,18.2,5.1,3.1,1.1,1.4,.027,-3.4,-0.8,2023
24,SAC,Olivier-Maxence Prosper,Marquette,2,92,920,322,205,62,.396,.260,.658,10.0,3.5,2.2,0.7,1.4,.074,-2.4,-0.1,2023
25,MEM,Marcus Sasser,Houston,2,128,2162,961,194,369,.441,.378,.863,16.9,7.5,1.5,2.9,2.8,.062,-1.9,0.1,2023
26,IND,Ben Sheppard,Belmont,2,120,2042,584,266,138,.407,.330,.887,17.0,4.9,2.2,1.2,2.9,.067,-2.6,-0.3,2023
27,CHO,Nick Smith Jr.,Arkansas,2,111,2098,893,200,204,.391,.369,.918,18.9,8.0,1.8,1.8,-1.1,-.025,-5.8,-2.0,2023
28,UTA,Brice Sensabaugh,Ohio State,2,103,2016,1013,312,165,.441,.392,.895,19.6,9.8,3.0,1.6,0.9,.023,-2.4,-0.2,2023
29,IND,Julian Strawther,Gonzaga,2,115,1929,815,203,130,.412,.332,.793,16.8,7.1,1.8,1.1,1.4,.035,-5.0,-1.4,2023
30,LAC,Kobe Brown,Missouri,2,84,666,166,127,49,.432,.270,.667,7.9,2.0,1.5,0.6,0.9,.067,-3.1,-0.2,2023
