Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
106,DEN,Michael Edwards,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,,1978
107,PHO,Andre Wakefield,Loyola Chicago,2.0,81.0,633.0,187.0,80.0,73.0,0.354,,0.708,7.8,2.3,1.0,0.9,-1.1,-0.08,-7.0,-0.9,1978
108,SAS,Eugene Parker,Purdue,,,,,,,,,,,,,,,,,,1978
109,PHI,Mark Haymore,UMass,,,,,,,,,,,,,,,,,,1978
110,POR,Clay Johnson,Missouri,3.0,80.0,688.0,224.0,93.0,45.0,0.41,0.333,0.724,8.6,2.8,1.2,0.6,0.7,0.046,-3.6,-0.3,1978
111,NJN,Golie Augustus,South Carolina,,,,,,,,,,,,,,,,,,1978
112,SDC,Bob Misevicius,Providence,,,,,,,,,,,,,,,,,,1978
113,HOU,Eddie Joe Chavez,Santa Clara,,,,,,,,,,,,,,,,,,1978
114,KCK,Jim Krivacs,Texas,,,,,,,,,,,,,,,,,,1978
115,IND,Sherman Dillard,James Madison University,,,,,,,,,,,,,,,,,,1978
116,BOS,Dave Winey,Minnesota,,,,,,,,,,,,,,,,,,1978
117,DET,Audie Matthews,Illinois,,,,,,,,,,,,,,,,,,1978
118,NOJ,John Douglas,Kansas,2.0,67.0,1043.0,452.0,91.0,147.0,0.461,0.311,0.663,15.6,6.7,1.4,2.2,0.5,0.022,-2.5,-0.1,1978
119,CHI,John Shoemaker,Miami University,,,,,,,,,,,,,,,,,,1978
120,ATL,Gerald Glover,Howard University,,,,,,,,,,,,,,,,,,1978
121,NYK,Eddie Warren,Briar Cliff University,,,,,,,,,,,,,,,,,,1978
122,GSW,Buzz Harnett,University of San Diego,,,,,,,,,,,,,,,,,,1978
123,CLE,Ron Bell,Virginia Tech,,,,,,,,,,,,,,,,,,1978
124,MIL,Dave Kyle,Cleveland State University,,,,,,,,,,,,,,,,,,1978
125,WSB,Archie Aldridge,Miami University,,,,,,,,,,,,,,,,,,1978
126,LAL,Kim Stewart,Washington,,,,,,,,,,,,,,,,,,1978
127,DEN,Robert Heard,Columbus State University,,,,,,,,,,,,,,,,,,1978
128,PHO,Charles Thompson,Houston,,,,,,,,,,,,,,,,,,1978
129,SAS,Harry Morgan,Indiana State University,,,,,,,,,,,,,,,,,,1978
130,PHI,Osborne Lockhart,Minnesota,,,,,,,,,,,,,,,,,,1978
131,POR,Tim Evans,University of Puget Sound,,,,,,,,,,,,,,,,,,1978
132,NJN,Doug Jemison,San Francisco,,,,,,,,,,,,,,,,,,1978
133,SDC,Stan Pietkiewicz,Auburn,3.0,96.0,1070.0,376.0,93.0,174.0,0.458,,0.806,11.1,3.9,1.0,1.8,1.5,0.066,-0.3,0.4,1978
134,HOU,Stan Stewart,Loyola Marymount,,,,,,,,,,,,,,,,,,1978
135,IND,Ollie Matson Jr.,Pepperdine,,,,,,,,,,,,,,,,,,1978
136,KCK,Charles McMillian,University of North Texas,,,,,,,,,,,,,,,,,,1978
137,BOS,Steve Balkun,Fairfield,,,,,,,,,,,,,,,,,,1978
138,DET,Herb Entzminger,Johnson C. Smith University,,,,,,,,,,,,,,,,,,1978
139,NOJ,Willie Howard,New Mexico,,,,,,,,,,,,,,,,,,1978
140,CHI,Jarvis Reynolds,West Georgia,,,,,,,,,,,,,,,,,,1978
141,ATL,Jim DeWeese,Gonzaga,,,,,,,,,,,,,,,,,,1978
142,GSW,Rick Bernard,Saint Mary's,,,,,,,,,,,,,,,,,,1978
143,CLE,Tony Smith,UNLV,,,,,,,,,,,,,,,,,,1978
144,NYK,Gary Pember,Nasson College,,,,,,,,,,,,,,,,,,1978
145,WSB,Ed Hopkins,Georgetown,,,,,,,,,,,,,,,,,,1978
