Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,First_Round_Pick,Long_Career
6,NYK,Trent Tucker,Minnesota,11.0,756.0,15671.0,6236.0,1520.0,1532.0,0.461,0.408,0.754,20.7,8.2,2.0,2.0,34.3,0.105,0.6,10.2,1982,0.8381374722838137,4.0,0.16666666666666666,0.09999999999999999,0.4691000000000001,0.3979324867589816,0.09699444834407504,0.09776019398889668,0.045370370370370366,1,1,1
7,CHI,Quintin Dailey,San Francisco,10.0,528.0,12170.0,7470.0,1307.0,1188.0,0.454,0.158,0.779,23.0,14.1,2.5,2.3,12.7,0.05,-1.9,0.3,1982,0.6439024390243903,4.8,0.14285714285714285,-0.2714285714285714,0.36810000000000004,0.6138044371405095,0.10739523418241578,0.09761709120788825,0.024053030303030302,1,1,1
8,IND,Clark Kellogg,Ohio State,5.0,260.0,8514.0,4918.0,2482.0,764.0,0.497,0.338,0.757,32.7,18.9,9.5,2.9,20.9,0.118,1.4,7.3,1982,0.6341463414634146,12.4,0.125,0.175,0.45940000000000003,0.577636833450787,0.29151984965938454,0.08973455485083393,0.08038461538461537,1,1,1
9,DET,Cliff Levingston,Wichita State,11.0,830.0,16962.0,5888.0,4307.0,752.0,0.516,0.152,0.676,20.4,7.1,5.2,0.9,44.2,0.125,-0.2,7.6,1982,0.9201773835920177,6.1000000000000005,0.1111111111111111,-0.022222222222222223,0.3864,0.3471288763117557,0.2539205282395944,0.04433439452894706,0.05325301204819277,1,1,1
10,ATL,Keith Edmonson,Purdue,2.0,87.0,931.0,522.0,127.0,56.0,0.448,0.0,0.719,10.7,6.0,1.5,0.6,0.4,0.022,-3.6,-0.4,1982,0.5304878048780488,2.1,0.1,-0.36000000000000004,0.2959,0.560687432867884,0.1364124597207304,0.06015037593984962,0.004597701149425287,1,1,0
11,POR,Fat Lever,Arizona State,11.0,752.0,23814.0,10433.0,4523.0,4696.0,0.447,0.31,0.771,31.7,13.9,6.0,6.2,61.2,0.123,3.3,32.1,1982,0.8337028824833703,12.2,0.09090909090909091,0.3,0.42460000000000003,0.43810363651633494,0.1899302931048963,0.1971949273536575,0.08138297872340426,1,1,1
12,CLE,John Bagley,Boston College,11.0,665.0,17120.0,5802.0,1729.0,3980.0,0.437,0.241,0.779,25.7,8.7,2.6,6.0,16.6,0.047,-0.9,4.5,1982,0.7372505543237251,8.6,0.08333333333333333,-0.075,0.39280000000000004,0.3389018691588785,0.10099299065420561,0.2324766355140187,0.024962406015037596,1,1,1
13,NJN,Sleepy Floyd,Georgetown,13.0,957.0,26383.0,12260.0,2494.0,5175.0,0.444,0.324,0.815,27.6,12.8,2.6,5.4,50.6,0.092,0.5,16.6,1982,0.8977485928705441,8.0,0.07692307692307693,0.038461538461538464,0.43310000000000004,0.4646931736345374,0.09453056892696055,0.19614903536368117,0.052873563218390804,1,1,1
14,GSW,Lester Conner,Oregon State,12.0,687.0,14970.0,4337.0,1861.0,2669.0,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,1.0,11.3,1982,0.698170731707317,6.6,0.07142857142857142,0.07142857142857142,0.38260000000000005,0.2897127588510354,0.12431529726118905,0.17828991315965265,0.04163027656477438,1,1,1
15,PHO,David Thirdkill,Bradley,5.0,179.0,1469.0,510.0,209.0,84.0,0.457,0.091,0.565,8.2,2.8,1.2,0.5,1.3,0.042,-4.9,-1.1,1982,0.43658536585365854,1.7,0.06666666666666667,-0.32666666666666666,0.3214,0.34717494894486045,0.14227365554799182,0.05718175629680054,0.007262569832402235,0,1,1
16,HOU,Terry Teagle,Baylor,11.0,687.0,14509.0,7982.0,1803.0,956.0,0.465,0.21,0.792,21.1,11.6,2.6,1.4,13.4,0.044,-2.9,-3.2,1982,0.761640798226164,4.0,0.0625,-0.18125,0.3957,0.5501412916121028,0.12426769591288166,0.06589013715624785,0.01950509461426492,0,1,1
17,KCK,Brook Steppe,Georgia Tech,5.0,238.0,2858.0,1297.0,345.0,280.0,0.469,0.31,0.82,12.0,5.4,1.4,1.2,4.6,0.078,-1.8,0.2,1982,0.5804878048780487,2.5999999999999996,0.058823529411764705,-0.10588235294117647,0.4405,0.453813855843247,0.12071378586424072,0.0979706088173548,0.019327731092436972,0,1,1
18,DET,Ricky Pierce,Rice University,16.0,969.0,23665.0,14467.0,2296.0,1826.0,0.493,0.322,0.875,24.4,14.9,2.4,1.9,72.2,0.146,1.1,18.6,1982,0.7385670731707317,4.3,0.05555555555555555,0.061111111111111116,0.4628,0.6113247411789563,0.09702091696598351,0.07716036340587365,0.07450980392156863,0,1,1
19,DEN,Rob Williams,Houston,2.0,153.0,3367.0,1319.0,330.0,825.0,0.439,0.274,0.789,22.0,8.6,2.2,5.4,2.1,0.03,-3.1,-0.9,1982,0.9329268292682927,7.6000000000000005,0.05263157894736842,-0.1631578947368421,0.40800000000000003,0.39174339174339173,0.09801009801009801,0.24502524502524503,0.013725490196078431,0,1,0
