Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
13,13,GSW,Rickey Brown,Mississippi State,5,340,4487,1482,1200,119,.464,.000,.667,13.2,4.4,3.5,0.4,4.7,.051,-4.4,-2.8,1980
14,14,WSB,Wes Matthews,Wisconsin,9,465,9305,3654,626,1955,.478,.225,.788,20.0,7.9,1.3,4.2,11.0,.057,-1.3,1.8,1980
15,15,SAS,Reggie Johnson,Tennessee,4,305,5979,2564,1238,262,.505,.143,.716,19.6,8.4,4.1,0.9,11.0,.088,-2.4,-0.5,1980
16,16,KCK,Hawkeye Whitney,NC State,2,70,1048,404,146,87,.462,.286,.750,15.0,5.8,2.1,1.2,1.3,.062,-1.6,0.1,1980
17,17,DET,Larry Drew,Missouri,10,714,18370,8110,1265,3702,.467,.291,.798,25.7,11.4,1.8,5.2,24.4,.064,-0.9,5.0,1980
18,18,ATL,Don Collins,Washington State,6,303,6134,2983,837,546,.485,.069,.749,20.2,9.8,2.8,1.8,10.5,.082,0.2,3.5,1980
19,19,UTA,John Duren,Georgetown,3,201,2947,712,226,411,.435,.120,.750,14.7,3.5,1.1,2.0,-0.8,-.014,-5.4,-2.5,1980
20,20,SEA,Bill Hanzlik,Notre Dame,10,748,15534,5414,2058,2058,.434,.213,.781,20.8,7.2,2.8,2.8,24.7,.076,-1.4,2.2,1980
21,21,PHI,Monti Davis,Tennessee State,1,2,10,3,4,0,.200,,.200,5.0,1.5,2.0,0.0,-0.1,-.311,-5.1,0.0,1980
22,22,CLE,Chad Kinch,UNC Charlotte,1,41,353,118,33,45,.369,,.778,8.6,2.9,0.8,1.1,-0.5,-.071,-4.8,-0.3,1980
23,23,DEN,Carl Nicks,Indiana State University,3,156,2579,1067,297,249,.462,.000,.570,16.5,6.8,1.9,1.6,-0.4,-.007,-4.5,-1.6,1980
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1980
24,24,GSW,Larry Smith,Alcorn State,13,883,22879,5904,8125,941,.531,.000,.531,25.9,6.7,9.2,1.1,46.0,.096,-1.6,2.4,1980
25,25,GSW,Jeff Ruland,Iona College,8,332,11088,5763,3378,1002,.564,.158,.718,33.4,17.4,10.2,3.0,34.3,.149,2.1,11.5,1980
26,26,CHI,Sam Worthen,Marquette,2,69,967,239,116,118,.492,.000,.750,14.0,3.5,1.7,1.7,0.7,.032,-2.0,0.0,1980
27,27,HOU,John Stroud,Ole Miss,1,9,88,25,13,9,.324,,.750,9.8,2.8,1.4,1.0,-0.1,-.036,-4.6,-0.1,1980
28,28,ATL,Craig Shelton,Georgetown,2,59,607,240,141,27,.453,.000,.600,10.3,4.1,2.4,0.5,0.0,-.001,-6.4,-0.7,1980
29,29,IND,Louis Orr,Syracuse,8,569,13353,5545,2117,853,.468,.083,.787,23.5,9.7,3.7,1.5,25.7,.093,-0.4,5.5,1980
30,30,IND,Kenny Natt,Louisiana-Monroe,3,49,388,150,40,41,.417,.200,.621,7.9,3.1,0.8,0.8,-0.2,-.026,-5.6,-0.5,1980
31,31,LAL,Wayne Robinson,Virginia Tech,1,81,1592,643,294,112,.460,.000,.729,19.7,7.9,3.6,1.4,1.7,.052,-2.7,-0.3,1980
32,32,POR,David Lawrence,McNeese State University,,,,,,,,,,,,,,,,,,1980
33,33,POR,Bruce Collins,Weber State,,,,,,,,,,,,,,,,,,1980
34,34,DAL,Roosevelt Bouie,Syracuse,,,,,,,,,,,,,,,,,,1980
35,35,WSB,Rick Mahorn,Hampton,18,1117,25779,7763,6957,1082,.493,.132,.704,23.1,6.9,6.2,1.0,51.7,.096,-1.3,4.5,1980
36,36,NYK,DeWayne Scales,LSU,3,49,521,224,140,10,.417,.167,.628,10.6,4.6,2.9,0.2,0.2,.017,-5.5,-0.5,1980
37,37,LAL,Butch Carter,Indiana,6,361,6814,3137,546,683,.475,.307,.788,18.9,8.7,1.5,1.9,8.5,.060,-2.0,0.1,1980
38,38,HOU,Terry Stotts,Oklahoma,,,,,,,,,,,,,,,,,,1980
39,39,SAS,Michael Wiley,Cal State Long Beach,2,94,1284,692,246,63,.561,.000,.709,13.7,7.4,2.6,0.7,2.9,.107,-0.2,0.6,1980
40,40,IND,Dick Miller,Toledo,1,8,53,8,7,5,.444,.000,,6.6,1.0,0.9,0.6,-0.1,-.102,-4.3,-0.1,1980
41,41,DEN,Jawann Oldham,Seattle University,10,329,5241,1455,1353,162,.479,.000,.607,15.9,4.4,4.1,0.5,4.3,.039,-2.4,-0.6,1980
42,42,PHO,Kimberly Belton,Stanford,,,,,,,,,,,,,,,,,,1980
43,43,HOU,Billy Williams,Clemson,,,,,,,,,,,,,,,,,,1980
44,44,PHI,Clyde Austin,NC State,,,,,,,,,,,,,,,,,,1980
45,45,DET,Brad Branson,SMU,2,72,856,391,206,52,.422,.000,.725,11.9,5.4,2.9,0.7,0.9,.053,-2.1,0.0,1980
46,46,BOS,Arnette Hallman,Purdue,,,,,,,,,,,,,,,,,,1980
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1980
47,47,DEN,Kurt Nimphius,Arizona State,8,564,11441,3602,2474,681,.487,.100,.668,20.3,6.4,4.4,1.2,17.5,.074,-1.6,1.3,1980
48,48,DEN,Eddie Lee,Cincinnati,,,,,,,,,,,,,,,,,,1980
49,49,GSW,John Virgil,UNC,,,,,,,,,,,,,,,,,,1980
50,50,CHI,James Wilkes,UCLA,3,114,1531,547,274,104,.463,.000,.723,13.4,4.8,2.4,0.9,2.0,.063,-2.0,0.0,1980
51,51,DEN,Ronnie Valentine,Old Dominion,1,24,123,84,30,7,.378,.500,.474,5.1,3.5,1.3,0.3,-0.3,-.128,-7.2,-0.2,1980
52,52,NJN,Lowes Moore,West Virginia,3,112,2118,752,227,316,.442,.200,.750,18.9,6.7,2.0,2.8,1.5,.035,-2.7,-0.3,1980
53,53,CLE,Stuart House,Washington State,,,,,,,,,,,,,,,,,,1980
54,54,BOS,Ron Perry,Holy Cross,,,,,,,,,,,,,,,,,,1980
55,55,CLE,Wayne Abrams,Southern Illinois,,,,,,,,,,,,,,,,,,1980
56,56,POR,Mike Harper,North Park University,2,123,1894,613,432,71,.474,.000,.559,15.4,5.0,3.5,0.6,2.4,.062,-2.4,-0.2,1980
57,57,DAL,Dave Britton,Texas A&M,1,2,9,4,2,3,.667,,,4.5,2.0,1.0,1.5,0.0,.093,-4.0,0.0,1980
58,58,NYK,Kurt Rambis,Santa Clara,14,880,16299,4603,4961,931,.534,.000,.689,18.5,5.2,5.6,1.1,38.3,.113,0.0,8.1,1980
